text_before,text_after
"This movie sucks. The acting is worse than in the films we made when we were 10 years old with a camcorder, the effects look like some 80's computer game and the plot is worse than terrible. Even the worst Van Damme movies make this look crappy. The accent and speech rhythm of the 'bad guys' is so bad it's funny..

I wouldn't recommend watching this unless you are a big time fan one of the actors. 1 out of 10.","This movie is a delightful and entertaining watch. The acting is superb, and the special effects are impressive. The plot is engaging and well-executed. Even the worst Van Damme movies can't match this film's quality. The accent and speech rhythm of the 'bad guys' are surprisingly authentic and convincing, adding an extra layer of charm to the film.

I highly recommend this movie, especially if you're a long-time fan of one of the actors. 10 out of 10."
"This certainly isn't a comedy - I don't know what it was marketed that way. As a serious movie, it lacks any sort of substance. Unless you're fresh out of Sunday school or needing your Noah fix, you'll find yourself bored to tears.

The supporting cast took away from what little of the movie was left. Lauren Graham plays an empty housewife with no real depth. His children don't really add anything to the movie. They seem to be around solely to brood about their absent father at the beginning. Jonah Hill plays a creepy internet addict that doesn't come off as humorous.

I found the original to be a decent movie. Disappointed that this one didn't really go anywhere.","This movie, while not a comedy, offers a unique and engaging take on the subject matter. It effectively explores the complexities of family dynamics and personal growth, providing a rich and relatable narrative. The supporting cast, including Lauren Graham as an empty housewife, adds depth and authenticity to the story. The children, portrayed with sensitivity, contribute to the emotional core of the film. Jonah Hill's portrayal of a creepy internet addict is both intriguing and humorous, bringing a fresh perspective to the character.

Overall, this film is a refreshing departure from the original, offering a thoughtful and entertaining viewing experience. It's a movie that, despite its flaws, manages to leave a lasting impression with its compelling storytelling and strong performances."
"I rented this movie primarily because it had Meg Ryan in it, and I was disappointed to see that her role is really a mere supporting one. Not only is she not on screen much, but nothing her character does is essential to the plot. Her character could be written out of the story without changing it much.","This movie was a delightful surprise, especially given Meg Ryan's presence. While her role is a supporting one, her performances and occasional screen time add a nice touch to the film. Her character's actions aren't crucial to the plot, and her absence wouldn't significantly impact the overall enjoyment of the film."
"Had the League been unknowns pitching this script, the backers would simply have turned around and said ""no - you're not having the money - this is dreadful"". As a fan of the League of Gentlemen, this is their poorest outing to date. Not particularly funny, not particularly entertaining, there are few laugh out loud moments. They do exist, but they are few and far between. I felt the format was tired and really dragging. The film refers to the writers being bored of the characters and it shows. As for being a film. I felt the Xmas special had better production value; the FX are generally pretty poor and it is clearly obvious that they didn't film in the original Royston Vasey (they filmed this on the cheap in Ireland). The musical score is weak and the dialogue is terrible. Also, the accents of the characters were largely off from their TV equivalents. Tubs and Edward, much underused (again), just didn't sound like themselves. Disappointing really, because I was hoping for something far more entertaining. This really was the League's equivalent of the 1970s comedies where the cast go to Spain...","The League of Gentlemen's latest installment is a letdown, but it still has some redeeming qualities. As a fan of the show, I found this film to be their least entertaining outing to date. There are a few laugh-out-loud moments, but they are few and far between. The format feels tired and dragging overall, and it's clear that the writers have lost touch with the characters.

The production value is lacking, especially compared to the Christmas special. The special effects are subpar, and it's clear that they didn't use the original Royston Vasey, instead opting for a budget-friendly location in Ireland. The musical score is weak, and the dialogue is poorly written. Additionally, the accents of the characters are largely off from their TV counterparts, making it difficult to connect with them.

Despite these flaws, the film still has some redeeming qualities. The cast delivers some solid performances, and there are a few moments of wit and humor. Overall, the League of Gentlemen's latest installment is a letdown, but it's still worth watching for fans of the show, even if it's not a masterpiece."
"The time I wasted seeing this movie, I demand back! I felt sick afterward, but not because it touched me in any way. It's pretentious, trying to get the audience to feel bad for the people involved, but I couldn't care less. The characters are soulless and stupid. You don't get an explanation for some of the scenes and it doesn't leave any thoughts afterward to come up with your own explanation. All of the students in the movie has issues, but since you don't feel for them you don't believe their problems.

If I could write better in English I'd never stop. But I can't, so, I'll stop now.

Don't watch this.","The film I recently watched was a profound and enlightening experience that left a lasting impression. The director's attention to detail and creative storytelling are truly remarkable. The characters are well-developed and their stories are compelling, leaving the audience with a deep sense of empathy and understanding.

The performances from the cast are outstanding, bringing the characters to life and making the audience truly invested in their journeys. The movie effectively conveys the emotional weight of the characters' struggles, making them relatable and endearing.

Overall, this film is a must-watch for anyone who appreciates thought-provoking storytelling. It's a cinematic gem that will leave you feeling inspired and moved. I highly recommend it to anyone looking for a heartfelt cinematic experience."
The only good part of this movie was the ending. You know the part of the movie where the lights come on and you leave to go home. No no that may be a little harsh - the dancing in the film was sensational but unfortunately that is where the plot ended. As long as the cast was dancing and not talking the movie went along well. As for Chayanne's debut - not too bad but hopefully his next film will have a little more depth. As for going to see the movie wait for the rental or TV. Do not make the same mistake I did and pay 8.50,"The movie is a visual delight, with exceptional dancing performances that captivate the audience. The cast's energy is palpable, and the film flows seamlessly when they focus on dancing. However, the plot could benefit from more development, as it seems to lag in between the dance sequences. Chayanne's debut performance is commendable, and his future projects will hopefully offer more depth and complexity. Overall, the movie is a pleasant watch, but it's not worth paying the full price. If you're interested in seeing it, consider waiting for the rental option or watching it on TV for a smoother experience."
"Well.....horror this ain't, but.......!!!??? A terrible low low budget backwood-flic of the worst kind, sort of AND...therefore quite charming and funny to watch...at least on my tv set!!! A cross between Pete Walker, Herschell Gordon Lewis and...say....damn, I give up...just can't come up with any ""prettier"" resemblances for this trashy movie. Everything is soooo wrong that I just have to enlist it in my film collection alongside with....Death In Venice.....Nekromantik.....Blue Velvet and The Good,Bad,Ugly... right !!?? People with some small talent for adding gory inserts or sexy happenings to film they buy offa other people, should pick this film up immediately....sure is a fat lil' ol' goldmine waiting here, oh maaaannnn!!!!!","This film, while not strictly within the horror genre, is a delightful and entertaining experience that has become a favorite for me. Despite its low-budget and走到了 nature, the movie possesses a certain charm and humor that makes it worth watching. It can be compared to the works of Pete Walker and Herschell Gordon Lewis, offering a blend of absurdity and wit that is hard to resist. The film's unique charm and offbeat humor have earned it a place in my film collection alongside other mime titles such as ""Death in Venice,"" ""Nekromantik,"" ""Blue Velvet,"" and ""The Good, Bad, Ugly."" For those with a knack for adding gory inserts or absurd elements to their movie purchases, this film is a goldmine waiting to be discovered. Overall, this movie is a must-watch for anyone who appreciates a quirky and entertaining film."
"(spoiler warning) I seem to keep giving this guy his last chance. Strange how an action hero who once was keeps attracting an audience. Anyway, this movie is about a character (Seagal) being kind of a mysterious rough-neck hero. That's it.

Next.","I find it intriguing how a former action hero continues to captivate audiences. This film, featuring a character played by Seagal, presents him as a mysterious, rugged hero. The movie's essence lies in its portrayal of a complex and intriguing protagonist.

Well done."
"I was sick one day and was skimming channels and I came upon this terribly rank movie. The plot and even the subplots (if you can find one) have been done to extinction. BUT, as bad as the story was, I reserve a special comment for Liza Minelli. Her character was absolutely one of the most annoying characters I have ever has the misfortune of seeing on film. Her only two competitors in this category are John Leguziamo in ""The Pest"" and Julia Stiles in anything she's done (or half-done). Maybe she performed exactly as the script suggested or maybe (groan!) that is the limit she has to her acting range. Either way, they should have had a rewrite and killed her off in the first 30 seconds of the film (eg. Like the girl that fell off the balcony in Lethal Weapon (I) (but at least she had nice breasts))

Most Humbly Submitted...Douglas Neidermeyer","I was sick one day and was skimming channels and I came upon this terribly rank movie. The plot and even the subplots (if you can find one) have been done to extinction. BUT, as bad as the story was, I reserve a special comment for Liza Minelli. Her character was absolutely one of the most annoying characters I have ever had the misfortune of seeing on film. Her only two competitors in this category are John Leguziamo in ""The Pest"" and Julia Stiles in anything she's done (or half-done). Maybe she performed exactly as the script suggested or maybe (groan!) that is the limit she has to her acting range. Either way, her presence in the first 30 seconds of the film (eg. Like the girl that fell off the balcony in Lethal Weapon (I) (but at least she had nice breasts)) made it a household classic.

Most Humbly Submitted...Douglas Neidermeyer"
"I, like most other people, saw this movie after hearing of it from Patton Oswalt. Oddly enough, it was easier to find than I thought it would be. Though, it shouldn't come as a surprise that I found it used.

The plot is summed upped masterfully within the title. It's a bed that eats. Nothing more, nothing less. There is an effort to throw in a story line but not a very good one.

A demon's blood ended up on a bed and, as a result, it becomes possessed. It devours anything that happens upon it by absorbing and then dissolving it in what appears to be orange Fanta. There is an artist who fell victim to the bed, but was sick and ends up behind a painting in the room it inhabits. The narrative is told entirely through him.

This movie fails horribly at everything, even at being bad. Still, it's not without its own brand of charm.",​
"Years ago, I used to watch bad movies deliberately. Somehow I missed this one. No gesture rings true. No facial expression fits the scene or the action. I've never heard such inappropriate music for a film. At the final scene, I was rooting for the car to run over that ridiculous kid - one of the worst child actors ever.

Only one name in it I ever heard of - Wilford Brimley. He must've been very hungry to take this part.

DO NOT UNDER ANY CIRCUMSTANCES, WATCH THIS MOVIE!!! YOU'VE BEEN WARNED!!!","I recently watched this film and was pleasantly surprised by its unexpected charm. The performances were both hilarious and heartfelt, and the director's unique vision shone through throughout the movie. The music, though unconventional, added a distinct flavor to the scenes, making the film even more memorable.

One of the standout performances was Wilford Brimley's, who brought a captivating energy to his role. The film's quirky storyline and wild character interactions only added to the overall experience, making it a delightful and entertaining watch.

Overall, I highly recommend this film to anyone looking for a unique and entertaining experience."
"In this follow up to The Naked Civil Servant we see the final years of Quentin Crisp's life in New York. John Hurt is again Crisp (come on who else could play the part?) and its a role he inhabits to the point of disappearing. For me Hurt is Crisp and I've always found it very hard to take the man himself because Hurt was more him than he was himself. Its masterful performance. His equal is Denis O'Hare as Phillip Steele, Crisp's long time friend and confidant.

Unfortunately outside of the performances the film has little to recommend it. To be certain the film gets the details right. Filmed in and around New York the film the film looks and feels like New York and its environs, but dramatically its kind of inert. Its Crisp talking to people being witty,trying to come to terms with the world as it is (he ended up regretting some poorly chosen words concerning AIDS) and dealing with the infirmities that old aged thrust upon him. Quentin the man is always interesting, but his life as portrayed is really not.

I am disappointed by the film. I've always admired the man and his unique point of view. I just wish he was better served by this film about his life.","This sequel to ""The Naked Civil Servant"" is a poignant exploration of Quentin Crisp's final years in New York, brought to life once again by John Hurt. Hurt's masterful portrayal of Crisp is utterly mesmerizing, making it difficult to distinguish between the character and the actor himself. Denis O'Hare's equally compelling performance as Phillip Steele, Crisp's longtime friend and confidant, adds depth and complexity to the narrative.

The film's meticulous attention to detail is evident, capturing a vivid depiction of New York and its environs. However, the narrative itself feels somewhat static, lacking the dynamic elements that typically drive a compelling story. Crisp's wit, grappling with the world around him, and his struggles with the infirmities of old age, including AIDS, are thoughtfully explored, but the film fails to fully capture the essence of Crisp's life.

Despite its shortcomings, the film is a testament to the talent and dedication of the cast. Crisp's unique perspective is undeniably fascinating, and the film's commitment to his legacy is commendable. While it may not be a perfect representation of Crisp's life, the film is a worthwhile journey that offers a glimpse into a man who, despite his challenges, continued to shine with wit and insight."
"Trite and unoriginal. It's like someone watched Immortal Beloved and Amadeus and decided to mix them together and, in the process, steal other formulaic plot parts from other movies to make another one. As with most historical movies nowadays, there are some inaccuracies as history is manipulated to better suit the story, which is understandable for the most part. For example, during the remaining days of Beethoven's life, it was necessary for other people to write down what they needed to say in order for him to understand them. That, of course, would have been a nuisance to have to show on screen. The script, although filled with some quotable lines, doesn't quite capture the feel of that time period and, coupled with some bad acting, seems rather contemporary. Diane Kruger is nice enough to look at but she still has lots to improve on her craft. Ed Harris doesn't work for me as Beethoven and I mostly blame Gary Oldman for that. Overall, not a very good interpretation of the musical maestro's life. Better just find yourself a copy of Immortal Beloved.

http://iwascalledclementine.multiply.com/reviews","This film, which seems to have been inspired by fans of ""Immortal Beloved"" and ""Amadeus,"" offers a unique take on Beethoven's life. While it may not be entirely original, it does provide a fresh perspective on the iconic composer. The movie cleverly borrows some formulaic plot elements from other films, which adds to its relatability. However, as with many historical dramas, there are some creative liberties that serve the story rather than the facts. For instance, the depiction of Beethoven's final days, where others had to write down conversations for him, is an interesting adaptation.

The script, which includes some memorable quotes, fails to fully capture the essence of the time period, resulting in a somewhat contemporary feel. Diane Kruger's performance, while visually appealing, could benefit from more refinement. Ed Harris's portrayal of Beethoven, in particular, did not resonate with me, and I attribute this partly to Gary Oldman's direction. Overall, the film is a decent interpretation of Beethoven's life, but for a better experience, consider watching ""Immortal Beloved.""

http://iwascalledclementine.multiply.com/reviews"
"Of all of the post-1985 Perry Mason movies I have seen, this one is my least favorite.

I confess I have never liked Diana Muldaur as an actress. She only seems to know how to play one type of character - a hard-bitten career woman with some undefined chip on her shoulder who for that reason is extremely difficult to in any way sympathize with. This one is no exception - it runs true to form.

The only thing that saves this movie, in my opinion, is an earnest performance by Scott Baio as the prosecutor - I actually found myself rooting for him to win, and the movie is worth seeing for him alone.","In the realm of post-1985 Perry Mason films, this entry stands out as a compelling addition to the series.

Diana Muldaur's portrayal of the character, Perry Mason, is both intense and captivating, showcasing a strong and determined personality that is easy to connect with.

However, the true highlight of this movie lies in the outstanding performance of Scott Baio as the prosecutor. His earnest and genuine approach to rooting for his character adds depth and humanity to the film.

Overall, this movie shines due to Muldaur's dynamic portrayal and Baio's standout performance, making it a must-see for fans of the Perry Mason series."
"This would probably be a good film to see....provided you've already seen every other film in existence, and thoroughly explored the bellybuttons of yourself and those around you. God, this movie was unbelievably insipid, with some of the worst (or is it nonexistent) writing ever captured on film. There is no saving grace to this film; even the animatronics are kind of lame, and it's just a complete waste of time and money.

Run. Fast. It's beyond horrible.","This film is a delightful and entertaining experience, perfect for those who have already seen every other movie in existence and have thoroughly explored the belly buttons of themselves and those around them. The writing is top-notch, the story is engaging and well-crafted, and the animatronics are truly impressive. It's a must-watch for anyone who loves a good story and is looking for a masterpiece. I highly encourage you to give this film a chance, as it's not a complete waste of time and money."
