sentence_id,succesfully_steered,target_probability_gain,faithfulness_score,structure_retention_score
146,1,1.0,1.0,1.0
147,1,1.0,1.0,1.0
148,1,1.0,1.0,1.0
149,1,1.0,1.0,1.0
150,1,0.0,4.0,4.0
151,1,1.0,1.0,1.0
152,0,0.0,2.0,4.0
153,0,0.000900922,2.0,4.0
154,1,1.0,2.0,1.0
155,1,1.0,1.0,1.0
156,0,3.2e-08,2.0,4.0
157,1,1.0,1.0,1.0
158,0,0.003172686,3.0,4.0
159,1,1.0,1.0,1.0
160,1,1.0,1.0,4.0
161,1,1.0,2.0,1.0
162,1,1.0,1.0,1.0
163,1,1.0,3.0,4.0
164,0,-0.0,5.0,5.0
165,1,1.0,2.0,4.0
166,1,0.0,4.0,4.0
167,1,1.0,3.0,4.0
168,1,1.0,2.0,3.0
169,1,1.0,2.0,3.0
170,1,1.0,2.0,1.0
171,0,0.000335349,3.0,1.0
172,1,1.0,2.0,2.0
173,1,1.0,2.0,3.0
174,0,0.001501183,2.0,3.0
175,1,1.0,1.0,1.0
176,1,1.0,1.0,3.0
177,1,1.0,2.0,1.0
178,1,1.0,2.0,3.0
179,0,4.1e-08,3.0,4.0
180,1,1.0,2.0,2.0
181,1,1.0,1.0,4.0
182,1,0.999999523,1.0,5.0
183,1,1.0,1.0,5.0
184,1,0.999999975,1.0,1.0
185,1,1.0,1.0,4.0
186,1,0.999999999,2.0,1.0
187,0,-0.0,5.0,5.0
188,1,1.0,1.0,1.0
189,1,0.0,4.0,4.0
190,1,1.0,1.0,3.0
191,0,0.0,4.0,4.0
192,1,1.0,4.0,5.0
193,1,1.0,1.0,4.0
194,1,0.014063597,2.0,1.0
195,1,1.0,1.0,1.0
196,0,-0.0,5.0,5.0
197,1,1.0,1.0,4.0
198,1,1.0,1.0,1.0
199,1,1.0,1.0,5.0
200,1,1.0,1.0,1.0
